样本标号,输入类型,最主要主题,次要主题,二级主题（标题）,抖音链接,博主,,,,,,,,,,,,,,,
1,合集,财经,财经,明星与资本,1.- 03/04 S@y.Tl :6pm 【合集 · 明星与资本】长按复制此条消:/ 息，打开抖音搜索，查看短剧##h13dsh4b089##[抖音口令],巫师财经,,,,,,,,,,,,,,,
2,单主题单视频,财经,财经,《牛奶可乐经济学》,2.35 【抖音精选】点击链接or复制打开app，看看【认知便利店M!的作品】5个经济学冷知识：一瓶牛奶可乐带你看懂世界运转逻辑... https://v.douyin.com/b5YIdv1hx_Q/ V@l.PK :0pm yTl:/ 02/14 ,认知便利店,,,,,,,,,,,,,,,
3,混合长视频,财经,科技,spaceX,7.61 复制打开抖音，看看【小Lin说的作品】SpaceX上市，背后在玩什么资本游戏? # 真财... https://v.douyin.com/283X0Ds5zaM/ :1pm g@o.qR Ivs:/ 08/04 ,小Lin说,,,,,,,,,,,,,,,
4,混合长视频,财经,历史,《置身事内》解读,8.23 04/11 :5pm daa:/ v@S.lC 复制打开抖音，看看【竹竹暴风雪的作品】房价背后，这本了解中国经济的必读之作，不懂经济学的... https://v.douyin.com/xTkzj95kjyA/,竹竹暴风雪,,,,,,,,,,,,,,,
5,合集,财经,历史,金融巨头风云会,8.46 【抖音精选】点击链接or复制打开app，看看【曼萨财经的作品】无人生还：万字解析雷曼兄弟崩盘始末 本视频时长33... https://v.douyin.com/UJio0JRlH4Y/ PKj:/ 12/25 :9pm N@j.Cu ,曼萨财经,,,,,,,,,,,,,,,
6,单主题单视频,财经,财经,AI泡沫,4.30 【抖音精选】点击链接or复制打开app，看看【AI007的作品】AI 史诗级泡沫或将崩盘，普通人如何避险 曾多次精... https://v.douyin.com/RuDTfXL6hnE/ :4pm a@a.nD 12/08 MwF:/ ,AI007,,,,,,,,,,,,,,,
7,单主题单视频,财经,财经,瑞郎之夜,9.41 【抖音精选】点击链接or复制打开app，看看【Vincent hahaha的作品】全球资本信仰崩塌时刻，复盘金融史上最阴冷的“瑞郎之... https://v.douyin.com/fOuAh75tGDw/ o@Q.Xm :7pm 11/25 eBG:/ ,Vincent hahaha,,,,,,,,,,,,,,,
8,混合长视频,财经,科技,《繁荣与萧条》解读,1.58 【抖音精选】点击链接or复制打开app，看看【达叔的财智日记的作品】欧文·费雪《繁荣与萧条》精读 为什么通货紧缩、楼市... https://v.douyin.com/qyMymuOQcjo/ O@X.md 09/23 Iip:/ :6pm ,,,,,,,,,,,,,,,,
9,混合长视频,科技,财经,AI算力与经济,9.20 【抖音精选】点击链接or复制打开app，看看【坤元财研的作品】别只看英伟达！深扒AI算力系统，这才是主板上真正的... https://v.douyin.com/NxEKg8HAXvw/ :8pm Qkc:/ G@i.CH 03/26 ,,,,,,,,,,,,,,,,
10,混合长视频,科技,财经,电力与AI,7.10 复制打开抖音，看看【小Lin说的作品】电，怎么卡住了AI的脖子？ # AI# 电力# A... https://v.douyin.com/bFPwAoTmcLg/ FHV:/ 04/26 :2pm y@T.Lw ,小Lin说,,,,,,,,,,,,,,,
